index,ds,227645,230054,247467,265812,269255,283639
144,2010-05-26 00:00:00,512,0,2304,1424,768,625
145,2010-05-27 00:00:00,960,0,1792,1376,768,910
146,2010-05-28 00:00:00,768,0,2484,640,768,937
147,2010-05-29 00:00:00,512,0,0,736,768,493
148,2010-05-30 00:00:00,0,0,0,0,0,0
149,2010-05-31 00:00:00,1024,0,2560,1536,1280,425
150,2010-06-01 00:00:00,768,0,2048,1920,960,994
151,2010-06-02 00:00:00,992,0,1536,0,192,425
152,2010-06-03 00:00:00,1024,0,2048,1664,1024,559
153,2010-06-04 00:00:00,1184,0,3200,800,1024,777
154,2010-06-05 00:00:00,1280,0,256,800,704,937
155,2010-06-06 00:00:00,0,0,0,0,0,0
156,2010-06-07 00:00:00,1024,0,2052,1248,800,904
157,2010-06-08 00:00:00,768,0,2496,768,1280,952
158,2010-06-09 00:00:00,832,0,1792,448,768,527
159,2010-06-10 00:00:00,1024,0,2304,1120,512,652
160,2010-06-11 00:00:00,1344,0,2048,1408,980,820
161,2010-06-12 00:00:00,1480,0,256,968,448,1328
162,2010-06-13 00:00:00,0,0,0,0,0,0
163,2010-06-14 00:00:00,936,0,2304,1216,512,429
164,2010-06-15 00:00:00,1024,0,2048,374,544,788
165,2010-06-16 00:00:00,944,0,2560,1052,752,510
166,2010-06-17 00:00:00,1088,0,2192,1874,256,757
167,2010-06-18 00:00:00,512,0,2560,1696,512,1137
168,2010-06-19 00:00:00,704,0,0,960,0,777
169,2010-06-20 00:00:00,0,0,0,0,0,0
170,2010-06-21 00:00:00,1024,0,2048,1008,0,493
171,2010-06-22 00:00:00,1160,0,2304,928,0,621
172,2010-06-23 00:00:00,1536,0,2304,832,256,728
173,2010-06-24 00:00:00,1536,0,3008,960,512,448
174,2010-06-25 00:00:00,1260,0,2304,984,512,512
175,2010-06-26 00:00:00,512,0,0,160,0,370
176,2010-06-27 00:00:00,0,0,0,0,0,0
177,2010-06-28 00:00:00,768,0,2816,936,512,1039
178,2010-06-29 00:00:00,768,0,2304,1664,1188,681
179,2010-06-30 00:00:00,1280,0,2996,1056,1024,859
180,2010-07-01 00:00:00,512,0,2496,1248,1264,746
181,2010-07-02 00:00:00,992,0,2800,1140,768,681
182,2010-07-03 00:00:00,512,0,1024,992,768,899
183,2010-07-04 00:00:00,0,0,0,0,0,0
184,2010-07-05 00:00:00,1204,0,2496,1056,1024,459
185,2010-07-06 00:00:00,1024,0,2304,608,448,1019
186,2010-07-07 00:00:00,1792,0,3968,1408,1024,825
187,2010-07-08 00:00:00,2032,0,1536,928,512,618
188,2010-07-09 00:00:00,1456,0,3200,992,768,1164
189,2010-07-10 00:00:00,512,0,384,0,0,797
190,2010-07-11 00:00:00,0,0,0,0,0,0
191,2010-07-12 00:00:00,1472,0,3066,800,512,497
192,2010-07-13 00:00:00,1408,0,2752,1148,768,875
193,2010-07-14 00:00:00,1168,0,2688,1280,1024,676
194,2010-07-15 00:00:00,512,0,2816,1476,512,250
195,2010-07-16 00:00:00,448,0,2560,1536,768,421
196,2010-07-17 00:00:00,0,0,704,0,0,839
197,2010-07-18 00:00:00,0,0,0,0,0,0
198,2010-07-19 00:00:00,1024,0,3072,768,768,719
199,2010-07-20 00:00:00,768,0,1792,768,768,538
200,2010-07-21 00:00:00,1024,0,3504,992,1024,500
201,2010-07-22 00:00:00,1024,0,2816,704,768,450
202,2010-07-23 00:00:00,1024,0,2816,1152,768,227
203,2010-07-24 00:00:00,256,0,512,384,512,450
204,2010-07-25 00:00:00,0,0,0,0,0,0
205,2010-07-26 00:00:00,1024,0,2816,1312,736,512
206,2010-07-27 00:00:00,1536,0,3328,756,928,0
207,2010-07-28 00:00:00,1664,0,3072,1280,1216,278
208,2010-07-29 00:00:00,960,0,3444,864,768,0
209,2010-07-30 00:00:00,704,0,2704,1568,960,200
