index,ds,1041,1692,1815,1853,1878
245,2010-09-04 00:00:00,4119,4791,28264,6231,3300
246,2010-09-05 00:00:00,0,0,662,0,0
247,2010-09-06 00:00:00,4844,6337,41279,4792,5476
248,2010-09-07 00:00:00,5412,8960,51035,4997,4857
249,2010-09-08 00:00:00,5127,8514,49263,5051,6119
250,2010-09-09 00:00:00,6057,6698,43112,4483,6169
251,2010-09-10 00:00:00,6006,9384,42796,4758,5197
252,2010-09-11 00:00:00,2849,5626,30024,6408,4905
253,2010-09-12 00:00:00,0,0,457,492,0
254,2010-09-13 00:00:00,3827,8497,43466,4844,4519
255,2010-09-14 00:00:00,5871,9899,57797,5492,8656
256,2010-09-15 00:00:00,5332,9120,47669,5438,4191
257,2010-09-16 00:00:00,5164,9216,46387,5320,5985
258,2010-09-17 00:00:00,6746,10200,58618,5433,4714
259,2010-09-18 00:00:00,4558,6466,39286,6358,2247
260,2010-09-19 00:00:00,0,0,412,0,0
261,2010-09-20 00:00:00,1920,3566,38188,3222,3885
262,2010-09-21 00:00:00,0,0,144,0,0
263,2010-09-23 00:00:00,0,0,187,0,0
264,2010-09-24 00:00:00,2094,3422,30593,1624,981
265,2010-09-25 00:00:00,1726,3216,20321,3432,1798
266,2010-09-26 00:00:00,0,0,316,0,0
267,2010-09-27 00:00:00,3205,8090,39250,4633,5200
268,2010-09-28 00:00:00,2737,11604,51329,5208,6822
269,2010-09-29 00:00:00,2962,7042,45450,4607,5374
270,2010-09-30 00:00:00,4316,6887,39292,4818,3836
271,2010-10-01 00:00:00,5058,9472,43886,4875,5843
272,2010-10-02 00:00:00,3660,2787,23957,6005,5120
273,2010-10-03 00:00:00,0,0,293,0,0
274,2010-10-04 00:00:00,3694,8290,37073,4883,4665
275,2010-10-05 00:00:00,4457,9454,47913,5083,4813
276,2010-10-06 00:00:00,6354,8428,44109,6429,3365
277,2010-10-07 00:00:00,6613,7758,39154,5979,3876
278,2010-10-08 00:00:00,7986,8847,42605,4416,3134
279,2010-10-09 00:00:00,3670,3486,25380,5044,2159
280,2010-10-10 00:00:00,0,0,356,0,0
281,2010-10-11 00:00:00,2609,6995,35061,4560,2546
282,2010-10-12 00:00:00,3144,10130,43699,4407,4064
283,2010-10-13 00:00:00,3664,7609,44697,5338,2194
284,2010-10-14 00:00:00,4078,6799,44767,5392,2878
285,2010-10-15 00:00:00,4473,9409,42834,5301,4438
286,2010-10-16 00:00:00,1408,6562,22163,5252,1420
